1,Unholy (feat. Kim Petras),Sam Smith;Kim Petras,156943,dance
2,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap;Quevedo,198937,hip-hop
3,I'm Good (Blue),David Guetta;Bebe Rexha,175238,dance
4,La Bachata,Manuel Turizo,162637,latin
5,Tití Me Preguntó,Bad Bunny,243716,latin
6,Me Porto Bonito,Bad Bunny;Chencho Corleone,178567,latin
7,I Ain't Worried,OneRepublic,148485,piano
8,Efecto,Bad Bunny,213061,latin
9,Ojitos Lindos,Bad Bunny;Bomba Estéreo,258298,latin
10,Moscow Mule,Bad Bunny,245939,latin
11,Neverita,Bad Bunny,173119,latin
12,Another Love,Tom Odell,244360,chill
13,CUFF IT,Beyoncé,225388,dance
14,Sweater Weather,The Neighbourhood,240400,alt-rock
15,Calm Down (with Selena Gomez),Rema;Selena Gomez,239317,pop
16,I Wanna Be Yours,Arctic Monkeys,183956,garage
17,Super Freaky Girl,Nicki Minaj,170977,dance
18,Left and Right (Feat. Jung Kook of BTS),Charlie Puth;Jung Kook;BTS,154486,dance
19,LOKERA,Rauw Alejandro;Lyanno;Brray,195294,latin
20,Jimmy Cooks (feat. 21 Savage),Drake;21 Savage,218364,hip-hop
21,Caile,Luar La L,141340,latin
22,Tarot,Bad Bunny;Jhayco,237894,latin
23,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,182906,dance
24,Te Felicito,Shakira;Rauw Alejandro,172235,latin
25,La Corriente,Bad Bunny;Tony Dize,198367,latino
26,Ferrari,James Hype;Miggy Dela Rosa,186661,dance
27,Running Up That Hill (A Deal With God),Kate Bush,298933,piano
28,Starboy,The Weeknd;Daft Punk,230453,pop
29,Dandelions,Ruth B.,233720,pop
30,"Sex, Drugs, Etc.",Beach Weather,196784,rock
31,Until I Found You,Stephen Sanchez,177720,pop
32,I Was Never There,The Weeknd;Gesaffelstein,241066,pop
33,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,210575,hip-hop
34,Party,Bad Bunny;Rauw Alejandro,227628,latino
35,STAY (with Justin Bieber),The Kid LAROI;Justin Bieber,141805,hip-hop
